Date,Opponent,Result
9/5/13,D-backs,0
9/6/13,D-backs,1
9/7/13,D-backs,0
9/8/13,D-backs,1
9/9/13,Rockies,1
9/10/13,Rockies,0
9/11/13,Rockies,1
9/24/13,Dodgers,0
9/25/13,Dodgers,1
9/26/13,Dodgers,1
9/27/13,Padres,1
9/28/13,Padres,0
9/29/13,Padres,1
4/8/14,D-backs,1
4/9/14,D-backs,0
4/10/14,D-backs,0
4/11/14,Rockies,1
4/12/14,Rockies,0
4/13/14,Rockies,1
4/15/14,Dodgers,1
4/16/14,Dodgers,1
4/17/14,Dodgers,0
4/25/14,Indians,1
4/26/14,Indians,1
4/27/14,Indians,1
4/28/14,Padres,0
4/29/14,Padres,1
4/30/14,Padres,1
5/12/14,Braves,1
5/13/14,Braves,0
5/14/14,Braves,1
5/15/14,Marlins,1
5/16/14,Marlins,0
5/17/14,Marlins,0
5/18/14,Marlins,1
5/23/14,Twins,1
5/24/14,Twins,1
5/25/14,Twins,1
5/26/14,Cubs,0
5/27/14,Cubs,1
5/28/14,Cubs,1
6/6/14,Mets,1
6/7/14,Mets,1
6/8/14,Mets,1
6/9/14,Nationals,0
6/10/14,Nationals,0
6/11/14,Nationals,0
6/12/14,Nationals,1
6/13/14,Rockies,0
6/14/14,Rockies,0
6/15/14,Rockies,0
6/23/14,Padres,0
6/24/14,Padres,0
6/25/14,Padres,1
6/26/14,Reds,0
6/27/14,Reds,0
6/28/14,Reds,0
6/29/14,Reds,0
7/1/14,Cardinals,1
7/2/14,Cardinals,0
7/3/14,Cardinals,0
7/9/14,Athletics,1
7/10/14,Athletics,0
7/11/14,D-backs,1
7/12/14,D-backs,0
7/13/14,D-backs,1
7/25/14,Dodgers,0
7/26/14,Dodgers,0
7/27/14,Dodgers,0
7/28/14,Pirates,0
7/29/14,Pirates,0
7/30/14,Pirates,1
8/12/14,White Sox,0
8/13/14,White Sox,1
8/15/14,Phillies,0
8/16/14,Phillies,1
8/17/14,Phillies,1
8/25/14,Rockies,0
8/26/14,Rockies,1
8/27/14,Rockies,1
8/28/14,Rockies,1
8/29/14,Brewers,1
8/30/14,Brewers,1
8/31/14,Brewers,1
9/9/14,D-backs,1
9/10/14,D-backs,1
9/11/14,D-backs,1
9/12/14,Dodgers,1
9/13/14,Dodgers,0
9/14/14,Dodgers,0
9/25/14,Padres,1
9/26/14,Padres,0
9/27/14,Padres,1
9/28/14,Padres,1
10/6/14,Nationals,0
10/7/14,Nationals,1
10/14/14,Cardinals,1
10/15/14,Cardinals,1
10/16/14,Cardinals,1
10/24/14,Royals,0
10/25/14,Royals,1
10/26/14,Royals,1
4/6/15,at D-backs,1
4/7/15,at D-backs,0
4/8/15,at D-backs,1
4/9/15,at Padres,1
4/10/15,at Padres,0
4/11/15,at Padres,0
4/12/15,at Padres,0
4/13/15,Rockies,0
4/14/15,Rockies,0
4/15/15,Rockies,0
4/16/15,D-backs,0
4/17/15,D-backs,0
4/18/15,D-backs,1
4/19/15,D-backs,0
4/21/15,Dodgers,1
4/22/15,Dodgers,1
4/23/15,Dodgers,1
4/24/15,at Rockies,0
4/25/15,at Rockies,1
4/26/15,at Rockies,0
4/27/15,at Dodgers,0
4/28/15,at Dodgers,1
4/29/15,at Dodgers,0
5/1/15,Angels,1
5/2/15,Angels,1
5/3/15,Angels,1
5/4/15,Padres,1
5/5/15,Padres,1
5/6/15,Padres,0
5/7/15,Marlins,0
5/8/15,Marlins,1
5/9/15,Marlins,0
5/10/15,Marlins,1
5/12/15,at Astros,1
5/13/15,at Astros,0
5/14/15,at Reds,0
5/15/15,at Reds,1
5/16/15,at Reds,1
5/17/15,at Reds,1
5/19/15,Dodgers,1
5/20/15,Dodgers,1
5/21/15,Dodgers,1
5/22/15,at Rockies,1
5/23/15,at Rockies,1
5/23/15,at Rockies,0
5/24/15,at Rockies,0
5/25/15,at Brewers,1
5/26/15,at Brewers,1
5/27/15,at Brewers,1
5/28/15,Braves,1
5/29/15,Braves,1
5/30/15,Braves,0
5/31/15,Braves,0
6/1/15,Pirates,0
6/2/15,Pirates,0
6/3/15,Pirates,0
6/5/15,at Phillies,1
6/6/15,at Phillies,1
6/7/15,at Phillies,0
6/9/15,at Mets,1
6/10/15,at Mets,1
6/11/15,at Mets,0
6/12/15,D-backs,0
6/13/15,D-backs,0
6/14/15,D-backs,0
6/15/15,Mariners,0
6/16/15,Mariners,1
6/17/15,at Mariners,0
6/18/15,at Mariners,1
6/19/15,at Dodgers,1
6/20/15,at Dodgers,1
6/21/15,at Dodgers,0
6/23/15,Padres,0
6/24/15,Padres,1
6/25/15,Padres,1
6/26/15,Rockies,0
6/27/15,Rockies,1
6/28/15,Rockies,1
6/30/15,at Marlins,0
7/1/15,at Marlins,0
7/2/15,at Marlins,0
7/3/15,at Nationals,0
7/4/15,at Nationals,0
7/5/15,at Nationals,0
7/6/15,Mets,0
7/7/15,Mets,1
7/8/15,Mets,0
7/10/15,Phillies,1
7/11/15,Phillies,1
7/12/15,Phillies,1
7/17/15,at D-backs,1
7/18/15,at D-backs,1
7/19/15,at D-backs,1
7/20/15,at Padres,0
7/21/15,at Padres,1
7/22/15,at Padres,1
